                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.176,                 3.9022,                 1.7462,                0.79195,                0.22686,                0.34402,                0.15123,                 1.9995,                 2.7762,                  1.512,             0.00023564,             0.00023564,             0.00023564
                      2,                  1.963,                   2.74,                 1.5813,                0.55867,                0.41955,                 0.3683,                0.15865,                 2.0755,                 2.5231,                 1.6259,             0.00046895,             0.00046895,             0.00046895
                      3,                 1.9582,                 2.5915,                 1.5983,                0.69332,                0.38053,                0.37698,                0.15502,                 2.0503,                 2.2786,                 1.6291,             0.00069755,             0.00069755,             0.00069755
                      4,                 1.9445,                 2.4222,                 1.5856,                0.68418,                0.42394,                0.39685,                0.17397,                  2.072,                 2.1747,                 1.6062,             0.00069279,             0.00069279,             0.00069279
                      5,                 1.8964,                 2.2325,                 1.5488,                0.64104,                0.40448,                0.40722,                0.19999,                 1.8907,                  2.099,                 1.6092,             0.00068573,             0.00068573,             0.00068573
                      6,                 1.8692,                 2.1676,                 1.5352,                0.77004,                0.39468,                0.46144,                0.21132,                 1.9693,                 1.9274,                 1.5424,             0.00067866,             0.00067866,             0.00067866
                      7,                 1.8518,                 1.9979,                 1.5153,                0.58536,                0.47821,                0.49935,                0.23956,                  1.888,                 1.8217,                 1.5369,             0.00067159,             0.00067159,             0.00067159
                      8,                 1.8204,                  1.976,                 1.5039,                0.64182,                0.45454,                0.46543,                0.21821,                 1.8692,                  1.938,                 1.5151,             0.00066452,             0.00066452,             0.00066452
                      9,                 1.7895,                 1.8773,                 1.4845,                0.57998,                0.43766,                0.46965,                0.23165,                  1.922,                 1.9391,                 1.5874,             0.00065745,             0.00065745,             0.00065745
                     10,                 1.7719,                 1.8168,                 1.4733,                0.54703,                0.53909,                0.56145,                0.28074,                 1.8305,                 1.7731,                 1.4961,             0.00065038,             0.00065038,             0.00065038
                     11,                 1.7617,                  1.755,                 1.4589,                  0.493,                0.53039,                0.53681,                0.26243,                 1.8172,                 1.6806,                 1.4877,             0.00064331,             0.00064331,             0.00064331
                     12,                 1.7822,                 1.7379,                 1.4751,                0.66513,                0.50736,                0.55195,                0.26805,                  1.776,                  1.678,                 1.4407,             0.00063625,             0.00063625,             0.00063625
                     13,                 1.7423,                 1.7037,                 1.4453,                0.53383,                0.57031,                0.57164,                0.26808,                 1.8869,                 1.6842,                 1.5373,             0.00062918,             0.00062918,             0.00062918
                     14,                 1.7487,                 1.7051,                 1.4508,                0.64629,                0.48874,                0.53909,                0.27877,                 1.8469,                 1.6907,                 1.5263,             0.00062211,             0.00062211,             0.00062211
                     15,                 1.7258,                 1.6417,                 1.4307,                0.55497,                0.59644,                0.56417,                0.27503,                 1.8141,                 1.7159,                 1.4605,             0.00061504,             0.00061504,             0.00061504
                     16,                 1.7246,                 1.6076,                 1.4191,                0.62331,                0.48966,                0.52932,                0.25289,                 1.8385,                 1.6211,                 1.4546,             0.00060797,             0.00060797,             0.00060797
                     17,                 1.7218,                 1.5952,                 1.4277,                0.63572,                0.56434,                 0.5846,                0.28207,                 1.8179,                 1.6295,                 1.4976,              0.0006009,              0.0006009,              0.0006009
                     18,                 1.7179,                 1.5952,                 1.4254,                0.62058,                0.59221,                0.58526,                0.29339,                 1.7285,                 1.4993,                 1.4277,             0.00059383,             0.00059383,             0.00059383
                     19,                 1.6944,                 1.5472,                 1.4097,                0.65545,                 0.6154,                0.61464,                0.30526,                 1.8197,                 1.5043,                 1.4692,             0.00058677,             0.00058677,             0.00058677
                     20,                 1.6642,                 1.5091,                 1.4094,                0.56355,                 0.5386,                0.56688,                0.28669,                 1.8125,                 1.6489,                 1.4766,              0.0005797,              0.0005797,              0.0005797
                     21,                  1.682,                 1.5316,                 1.4199,                0.75606,                0.52442,                0.58195,                0.29908,                 1.7765,                  1.575,                 1.4434,             0.00057263,             0.00057263,             0.00057263
                     22,                 1.6787,                 1.5192,                 1.4088,                0.73159,                0.56359,                0.62163,                0.31005,                 1.7786,                 1.5298,                 1.4717,             0.00056556,             0.00056556,             0.00056556
                     23,                 1.6653,                 1.4735,                  1.374,                0.54486,                0.61295,                0.59265,                 0.3042,                 1.7735,                 1.4671,                 1.4396,             0.00055849,             0.00055849,             0.00055849
                     24,                 1.6658,                 1.4784,                  1.392,                0.60584,                0.57554,                0.59856,                0.30047,                 1.7471,                 1.4959,                 1.4289,             0.00055142,             0.00055142,             0.00055142
                     25,                  1.637,                 1.4514,                 1.3752,                0.63637,                0.62031,                0.63036,                0.31487,                 1.7774,                 1.4776,                 1.4729,             0.00054435,             0.00054435,             0.00054435
                     26,                 1.6243,                 1.4217,                 1.3575,                0.63877,                0.57528,                0.60388,                 0.3104,                 1.7626,                 1.4665,                 1.4532,             0.00053728,             0.00053728,             0.00053728
                     27,                 1.6686,                 1.4538,                 1.4001,                0.68912,                0.56494,                0.60121,                0.30899,                 1.7786,                 1.4928,                 1.4455,             0.00053022,             0.00053022,             0.00053022
                     28,                 1.6291,                   1.43,                 1.3649,                0.74498,                0.51738,                0.57536,                0.29549,                 1.8054,                  1.541,                 1.5064,             0.00052315,             0.00052315,             0.00052315
                     29,                 1.6278,                 1.4299,                 1.3709,                0.59814,                0.59036,                0.60805,                0.32909,                 1.7289,                 1.4549,                 1.4252,             0.00051608,             0.00051608,             0.00051608
                     30,                 1.6242,                  1.392,                 1.3693,                0.70721,                0.55089,                0.58621,                0.29909,                 1.7943,                 1.4627,                 1.4475,             0.00050901,             0.00050901,             0.00050901
