                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1807,                 3.9032,                 1.7557,                0.78179,                0.23289,                0.30152,                0.13474,                 2.0425,                 2.8626,                 1.5488,             0.00023564,             0.00023564,             0.00023564
                      2,                  1.983,                 2.7494,                  1.584,                0.59292,                0.32177,                 0.3323,                0.14795,                 2.1218,                 2.5749,                 1.6704,             0.00046427,             0.00046427,             0.00046427
                      3,                 1.9676,                 2.5933,                 1.6038,                0.52006,                0.38876,                0.36709,                0.17542,                 1.9449,                 2.3281,                 1.6143,             0.00068346,             0.00068346,             0.00068346
                      4,                 1.9249,                 2.4239,                 1.5853,                0.58307,                0.39838,                0.36987,                0.17123,                 1.9672,                 2.4195,                 1.6444,             0.00067159,             0.00067159,             0.00067159
                      5,                 1.9103,                 2.2482,                 1.5651,                0.62763,                0.39911,                  0.437,                0.20502,                 1.9403,                  1.903,                 1.5834,             0.00065745,             0.00065745,             0.00065745
                      6,                 1.8647,                 2.1182,                 1.5235,                0.48864,                0.47476,                0.45881,                0.22277,                 1.8993,                 1.8746,                 1.5437,             0.00064331,             0.00064331,             0.00064331
                      7,                 1.8401,                 1.9961,                 1.4895,                0.58186,                 0.4899,                0.51213,                0.23235,                   1.87,                 1.8046,                  1.489,             0.00062918,             0.00062918,             0.00062918
                      8,                 1.8231,                  1.948,                 1.4936,                0.67309,                0.47146,                0.45881,                 0.2193,                   1.92,                 1.9256,                 1.4977,             0.00061504,             0.00061504,             0.00061504
                      9,                 1.7956,                 1.8692,                 1.4631,                0.43472,                0.51279,                0.53164,                0.25873,                 1.8165,                 1.7461,                 1.4498,              0.0006009,              0.0006009,              0.0006009
                     10,                 1.7579,                 1.8077,                 1.4586,                0.54307,                0.48225,                0.51328,                0.25237,                 1.8406,                 1.6964,                 1.4849,             0.00058677,             0.00058677,             0.00058677
                     11,                 1.7521,                 1.7432,                 1.4604,                0.68467,                0.48808,                0.54449,                0.24885,                 1.8558,                 1.7116,                 1.5232,             0.00057263,             0.00057263,             0.00057263
                     12,                  1.747,                 1.7236,                  1.462,                0.51535,                0.58176,                0.55087,                  0.267,                  1.778,                  1.664,                 1.4807,             0.00055849,             0.00055849,             0.00055849
                     13,                 1.7331,                 1.6807,                 1.4313,                0.48038,                0.57189,                0.57141,                0.28361,                 1.7932,                 1.6561,                 1.4479,             0.00054435,             0.00054435,             0.00054435
                     14,                 1.7247,                 1.6772,                 1.4328,                0.63964,                0.56155,                 0.5722,                0.27705,                  1.841,                 1.6281,                 1.5073,             0.00053022,             0.00053022,             0.00053022
                     15,                 1.7117,                 1.6032,                 1.4246,                0.59993,                0.55398,                0.57395,                0.28238,                 1.8049,                  1.637,                 1.4759,             0.00051608,             0.00051608,             0.00051608
